100.5,100.2,CZ,Vystaviste 1,Praha
105.0,110.5,CZ,Bubenska 14,Praha
95.8,120.3,CZ,U Pergamenky 2,Praha
102.1,98.7,CZ,Plynarni 10,Praha
110.0,105.0,CZ,Jankovcova 3,Praha
400.0,400.0,CZ,Namesti Svobody 1,Brno
405.0,405.0,CZ,Ceska 5,Brno
395.0,395.0,CZ,Husova 12,Brno
398.0,402.0,CZ,Masarykova 2,Brno
402.0,398.0,CZ,Orli 7,Brno
700.5,150.0,SK,Hlavne namestie 1,Bratislava
710.0,160.0,SK,Obchodna 3,Bratislava
720.0,140.0,SK,Postova 5,Bratislava
705.0,155.0,SK,Laurinska 8,Bratislava
50.0,750.0,CZ,Prokesovo namesti 1,Ostrava
60.0,760.0,CZ,28. rijna 10,Ostrava
45.0,740.0,CZ,Nadrazni 5,Ostrava
55.0,755.0,CZ,Stodolni 2,Ostrava
10.0,10.0,DE,Alexanderplatz 1,Berlin
790.0,790.0,AT,Stephansplatz 1,Wien
10.0,790.0,PL,Rynek Glowny 1,Krakow
790.0,10.0,DE,Marienplatz 1,Munchen
400.0,100.0,CZ,Namesti Republiky 1,Plzen
400.0,700.0,CZ,Velke namesti 1,Hradec Kralove
100.0,400.0,CZ,Mirove namesti 1,Usti nad Labem
700.0,400.0,CZ,Namesti Premysla Otakara II 1,Ceske Budejovice
200.0,200.0,CZ,Namesti 1,Liberec
210.5,215.0,CZ,Sokolska 4,Liberec
190.0,205.2,CZ,Ruprechticka 12,Liberec
205.0,195.0,CZ,5. kvetna 8,Liberec
220.0,220.0,CZ,Pastelova 2,Liberec
600.0,600.0,CZ,Prazska 1,Pribram
610.0,610.0,CZ,Milinska 5,Pribram
590.0,595.0,CZ,Legerova 10,Pribram
605.0,605.0,CZ,Namesti TGM 3,Pribram
615.0,585.0,CZ,Dlouha 7,Pribram
150.0,650.0,CZ,U Stadionu 1,Mlada Boleslav
160.0,660.0,CZ,Trida Vaclava Klementa 2,Mlada Boleslav
145.0,640.0,CZ,Havlickova 5,Mlada Boleslav
155.0,655.0,CZ,Palackeho 11,Mlada Boleslav
500.0,50.0,PL,Warszawska 10,Wroclaw
510.0,60.0,PL,Legnicka 45,Wroclaw
490.0,40.0,PL,Ruska 2,Wroclaw
50.0,50.0,CZ,Horni 1,As
50.0,100.0,CZ,Horni 2,As
50.0,150.0,CZ,Horni 3,As
50.0,200.0,CZ,Horni 4,As
400.0,200.0,CZ,Stredova 1,Jihlava
400.0,300.0,CZ,Stredova 2,Jihlava
400.0,500.0,CZ,Stredova 3,Jihlava
400.0,600.0,CZ,Stredova 4,Jihlava
250.0,450.0,CZ,Horní náměstí 1,Olomouc
255.0,455.0,CZ,Dolní náměstí 4,Olomouc
245.0,445.0,CZ,Riegrova 12,Olomouc
252.0,448.0,CZ,Lafayettova 2,Olomouc
258.0,452.0,CZ,Pekařská 5,Olomouc
350.0,350.0,CZ,Pernštýnské náměstí 1,Pardubice
355.0,355.0,CZ,Třída Míru 10,Pardubice
345.0,345.0,CZ,Zelená brána 2,Pardubice
352.0,348.0,CZ,Smilova 5,Pardubice
358.0,352.0,CZ,Sladkovského 8,Pardubice
550.0,450.0,CZ,Náměstí Míru 1,Zlín
555.0,455.0,CZ,Štefánikova 14,Zlín
545.0,445.0,CZ,Kvítková 2,Zlín
552.0,448.0,CZ,Tř. Tomáše Bati 10,Zlín
558.0,452.0,CZ,Dlouhá 5,Zlín
150.0,150.0,CZ,Žižkovo náměstí 1,Tábor
155.0,155.0,CZ,Pražská 4,Tábor
145.0,145.0,CZ,Palackého třída 12,Tábor
650.0,650.0,CZ,Velké náměstí 1,Kroměříž
655.0,655.0,CZ,Jánská 2,Kroměříž
645.0,645.0,CZ,Vodní 5,Kroměříž
300.0,750.0,CZ,Masarykovo náměstí 1,Znojmo
305.0,755.0,CZ,Obroková 4,Znojmo
295.0,745.0,CZ,Kovářská 2,Znojmo
750.0,750.0,SK,Mierové námestie 1,Trenčín
755.0,755.0,SK,Farská 4,Trenčín
745.0,745.0,SK,Hviezdoslavova 2,Trenčín
50.0,400.0,CZ,Náměstí Krále Jiřího 1,Cheb
55.0,405.0,CZ,Jateční 4,Cheb
45.0,395.0,CZ,Dlouhá 2,Cheb
600.0,100.0,PL,Rynek 1,Jelenia Gora
605.0,105.0,PL,Konopnickiej 4,Jelenia Gora
595.0,95.0,PL,Boczna 2,Jelenia Gora
450.0,450.0,CZ,Svatoplukova 1,Prostějov
455.0,455.0,CZ,Olomoucká 4,Prostějov
445.0,445.0,CZ,Vrahovická 2,Prostějov
200.0,50.0,DE,Postplatz 1,Dresden
205.0,55.0,DE,Prager Strasse 4,Dresden
195.0,45.0,DE,Wilsdruffer 2,Dresden
780.0,400.0,HU,Hősök tere 1,Budapest
